Subgroup,AreaId,AreaName,DefaultEnabled,Behavior,InCampaign100Route,InAnyPercentBaseline,SourceNote
Act 2,G2_6,Valley of the Titans,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 2,G2_7,The Titan Grotto,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 2,ExpeditionSubArea_Kalguur_Act2,Skull of the Titan,true,unordered-first-visit-split,true,False,Runes of Aldur story area
Act 2,G2_8,Deshar,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 2,G2_9_1,Path of Mourning,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 2,G2_9_2,The Spires of Deshar,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 2,G2_13,Trial of the Sekhemas,true,unordered-first-visit-split,true,False,SavageOranges patch-0.5 table
Act 2,G2_12,Dreadnought,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 3,G3_1,Sandswept Marsh,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 3,G3_town,Ziggurat Encampment,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 3,G3_3,Jungle Ruins,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 3,G3_4,The Venom Crypts,true,unordered-first-visit-split,true,False,SavageOranges patch-0.5 table
Act 3,G3_2_1,Infested Barrens,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 3,ExpeditionSubArea_Kalguur_Act3,Mystic Refuge,true,unordered-first-visit-split,true,False,Two-part visit; 100% route intentionally counts first entry only
Act 3,G3_5,Chimeral Wetlands,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 3,G3_6_1,Jiquani's Machinarium,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 3,G3_6_2,Jiquani's Sanctum,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 3,G3_2_2,The Matlan Waterways,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 3,G3_7,The Azak Bog,true,unordered-first-visit-split,true,False,SavageOranges patch-0.5 table
Act 3,G3_8,The Drowned City,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 3,G3_9,The Molten Vault,true,unordered-first-visit-split,true,False,SavageOranges patch-0.5 table
Act 3,G3_11,Apex of Filth,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 3,G3_12,Temple of Kopec,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 3,G3_10_Airlock,The Temple of Chaos,true,unordered-first-visit-split,true,False,SavageOranges patch-0.5 table
Act 3,G3_14,Utzaal,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 3,G3_16,Aggorat,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 3,G3_17,The Black Chambers,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 4,G4_town,Kingsmarch,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 4,G4_1_1,Isle of Kin,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 4,G4_1_2,Volcanic Warrens,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 4,G4_4_1,Eye of Hinekora,true,unordered-first-visit-split,true,False,SavageOranges patch-0.5 table
Act 4,G4_4_2,Halls of the Dead,true,unordered-first-visit-split,true,False,SavageOranges patch-0.5 table
Act 4,G4_4_3,Trial of the Ancestors,true,unordered-first-visit-split,true,False,SavageOranges patch-0.5 table
Act 4,G4_2_1,Kedge Bay,true,unordered-first-visit-split,true,False,SavageOranges patch-0.5 table
Act 4,G4_2_2,Journey's End,true,unordered-first-visit-split,true,False,SavageOranges patch-0.5 table
Act 4,G4_5_1,Abandoned Prison,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 4,G4_5_2,Solitary Confinement,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 4,G4_3_1,Whakapanu Island,true,unordered-first-visit-split,true,False,SavageOranges patch-0.5 table
Act 4,G4_3_2,Singing Caverns,true,unordered-first-visit-split,true,False,SavageOranges patch-0.5 table
Act 4,G4_7,Shrike Island,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 4,G4_8b,Arastas,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 4,G4_10,The Excavation,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 4,G4_11_1b,Ngakanu,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 4,G4_11_2,Heart of the Tribe,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 4,G4_13,Plunder's Point,true,unordered-first-visit-split,true,False,SavageOranges patch-0.5 table
Act 4,ExpeditionSubArea_Kalguur_Act4,Deserted Post,false,reference-only-subarea,false,False,Reference-only subarea of Plunder's Point; no independent Client.txt area transition; not splittable
Interludes,P1_Town,The Refuge,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Interludes,P1_1,Scorched Farmlands,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Interludes,P1_2,Stones of Serle,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Interludes,P1_3,The Blackwood,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Interludes,P1_4,Holten,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Interludes,P1_5,Wolvenhold,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Interludes,P1_6,Holten Estate,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Interludes,P2_Town,The Khari Bazaar,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Interludes,P2_1,The Khari Crossing,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Interludes,P2_2,Pools of Khatal,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Interludes,P2_3,Sel Khari Sanctuary,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Interludes,P2_5,The Galai Gates,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Interludes,P2_6,Qimah,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Interludes,P2_7,Qimah Reservoir,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Interludes,P3_Town,The Glade,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Interludes,P3_1,Ashen Forest,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Interludes,P3_2,Kriar Village,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Interludes,P3_3,Glacial Tarn,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Interludes,P3_4,Howling Caves,true,unordered-first-visit-split,true,False,SavageOranges patch-0.5 table
Interludes,P3_5,Kriar Peaks,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Interludes,P3_6,Etched Ravine,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Interludes,P3_7,The Cuachic Vault,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Finish,G_Endgame_Town,The Ziggurat Refuge,false,finish-trigger,true,True,SavageOranges patch-0.5 table
Act 4,G4_8a,Arastas (pre-progression state),false,recognized-alias,false,false,Known progression-state alias
Act 4,G4_11_1a,Ngakanu (pre-progression state),false,recognized-alias,false,false,Known progression-state alias
