Act,AreaId,AreaName,InCampaign100Route,InAnyPercentBaseline,SourceNote
3,G3_16,Aggorat,true,true,SavageOranges patch-0.5 table
3,G3_17,The Black Chambers,true,true,SavageOranges patch-0.5 table
4,G4_town,Kingsmarch,true,true,SavageOranges patch-0.5 table
4,G4_1_1,Isle of Kin,true,true,SavageOranges patch-0.5 table
4,G4_1_2,Volcanic Warrens,true,true,SavageOranges patch-0.5 table
4,G4_4_1,Eye of Hinekora,true,false,SavageOranges patch-0.5 table
4,G4_4_2,Halls of the Dead,true,false,SavageOranges patch-0.5 table
4,G4_4_3,Trial of the Ancestors,true,false,SavageOranges patch-0.5 table
4,G4_2_1,Kedge Bay,true,false,SavageOranges patch-0.5 table
4,G4_2_2,Journey's End,true,false,SavageOranges patch-0.5 table
4,G4_5_1,Abandoned Prison,true,true,SavageOranges patch-0.5 table
4,G4_5_2,Solitary Confinement,true,true,SavageOranges patch-0.5 table
4,G4_3_1,Whakapanu Island,true,false,SavageOranges patch-0.5 table
4,G4_3_2,Singing Caverns,true,false,SavageOranges patch-0.5 table
4,G4_7,Shrike Island,true,true,SavageOranges patch-0.5 table
4,G4_8b,Arastas,true,true,SavageOranges patch-0.5 table
4,G4_10,The Excavation,true,true,SavageOranges patch-0.5 table
4,G4_11_1b,Ngakanu,true,true,SavageOranges patch-0.5 table
4,G4_11_2,Heart of the Tribe,true,true,SavageOranges patch-0.5 table
4,G4_13,Plunder's Point,true,false,SavageOranges patch-0.5 table
4,ExpeditionSubArea_Kalguur_Act4,Deserted Post,false,false,Reference-only subarea of Plunder's Point; no independent Client.txt area transition; not splittable
Interlude 1,P1_Town,The Refuge,true,true,SavageOranges patch-0.5 table
Interlude 1,P1_1,Scorched Farmlands,true,true,SavageOranges patch-0.5 table
Interlude 1,P1_2,Stones of Serle,true,true,SavageOranges patch-0.5 table
Interlude 1,P1_3,The Blackwood,true,true,SavageOranges patch-0.5 table
Interlude 1,P1_4,Holten,true,true,SavageOranges patch-0.5 table
Interlude 1,P1_5,Wolvenhold,true,true,SavageOranges patch-0.5 table
Interlude 1,P1_6,Holten Estate,true,true,SavageOranges patch-0.5 table
Interlude 2,P2_Town,The Khari Bazaar,true,true,SavageOranges patch-0.5 table
Interlude 2,P2_1,The Khari Crossing,true,true,SavageOranges patch-0.5 table
Interlude 2,P2_2,Pools of Khatal,true,true,SavageOranges patch-0.5 table
Interlude 2,P2_3,Sel Khari Sanctuary,true,true,SavageOranges patch-0.5 table
Interlude 2,P2_5,The Galai Gates,true,true,SavageOranges patch-0.5 table
Interlude 2,P2_6,Qimah,true,true,SavageOranges patch-0.5 table
Interlude 2,P2_7,Qimah Reservoir,true,true,SavageOranges patch-0.5 table
Interlude 3,P3_Town,The Glade,true,true,SavageOranges patch-0.5 table
Interlude 3,P3_1,Ashen Forest,true,true,SavageOranges patch-0.5 table
Interlude 3,P3_2,Kriar Village,true,true,SavageOranges patch-0.5 table
Interlude 3,P3_3,Glacial Tarn,true,true,SavageOranges patch-0.5 table
Interlude 3,P3_4,Howling Caves,true,false,SavageOranges patch-0.5 table
Interlude 3,P3_5,Kriar Peaks,true,true,SavageOranges patch-0.5 table
Interlude 3,P3_6,Etched Ravine,true,true,SavageOranges patch-0.5 table
Interlude 3,P3_7,The Cuachic Vault,true,true,SavageOranges patch-0.5 table
Endgame,G_Endgame_Town,The Ziggurat Refuge,true,true,SavageOranges patch-0.5 table
